Date,Heure,Type,Nom,Disponibilite,Capacite,Statut,Latitude,Longitude,Horodatage,Places_occupees,Taux_occupation_%
01/01/2026,00:43:57,Voiture,Vicarello,40,64,Open,43.63286,3.898411,2026-01-01 00:43:57,24,37.5
01/01/2026,00:43:57,Voiture,Gaumont EST,74,109,Open,43.604526,3.91529,2026-01-01 00:43:57,35,32.11009174311927
01/01/2026,00:43:57,Voiture,Gaumont OUEST,5,250,Open,43.604824,3.914158,2026-01-01 00:43:57,245,98.0
01/01/2026,00:43:57,Voiture,Charles de Gaulle,174,260,Open,43.6285421,3.8977621,2026-01-01 00:43:57,86,33.07692307692307
01/01/2026,00:43:57,Voiture,Polygone,1013,1911,Open,43.607697,3.88515,2026-01-01 00:43:57,898,46.99110413396127
01/01/2026,00:43:57,Voiture,Arc de Triomphe,100,440,Open,43.61100267,3.8732007,2026-01-01 00:43:57,340,77.27272727272727
01/01/2026,00:43:57,Voiture,Gaumont-Circe,199,500,Open,43.60495377,3.9178495,2026-01-01 00:43:57,301,60.199999999999996
01/01/2026,00:53:57,Voiture,Antigone,172,239,Open,43.60871606,3.88881893,2026-01-01 00:53:57,67,28.03347280334728
01/01/2026,00:53:57,Voiture,Comedie,189,664,Open,43.60856092,3.87976196,2026-01-01 00:53:57,475,71.53614457831326
01/01/2026,00:53:57,Voiture,Corum,269,480,Open,43.61388821,3.88225773,2026-01-01 00:53:57,211,43.958333333333336
01/01/2026,00:53:57,Voiture,Europa,488,591,Open,43.60784971,3.89253074,2026-01-01 00:53:57,103,17.428087986463623
01/01/2026,00:53:57,Voiture,Foch,418,620,Open,43.61074912,3.87657084,2026-01-01 00:53:57,202,32.58064516129032
01/01/2026,00:53:57,Voiture,Gambetta,211,452,Open,43.60695138,3.87137436,2026-01-01 00:53:57,241,53.31858407079646
01/01/2026,00:53:57,Voiture,Gare,298,656,Open,43.604024,3.87891,2026-01-01 00:53:57,358,54.57317073170732
01/01/2026,00:53:57,Voiture,Triangle,274,434,Open,43.60923384,3.88184418,2026-01-01 00:53:57,160,36.86635944700461
01/01/2026,00:53:57,Voiture,Pitot,403,590,Open,43.61224494,3.87019117,2026-01-01 00:53:57,187,31.694915254237287
01/01/2026,00:53:57,Voiture,Circe,993,1200,Open,43.60495377,3.9178495,2026-01-01 00:53:57,207,17.25
01/01/2026,00:53:57,Voiture,Garcia Lorca,388,400,Open,43.59098509,3.8907158,2026-01-01 00:53:57,12,3.0
01/01/2026,00:53:57,Voiture,Mosson,307,328,Open,43.61623716,3.81966554,2026-01-01 00:53:57,21,6.402439024390244
01/01/2026,00:53:57,Voiture,Sabines,141,285,Open,43.58383263,3.8602246,2026-01-01 00:53:57,144,50.526315789473685
01/01/2026,00:53:57,Voiture,Sablassou,316,379,Open,43.63419194,3.92229536,2026-01-01 00:53:57,63,16.62269129287599
01/01/2026,00:53:57,Voiture,Saint Jean Le Sec,238,285,Open,43.57082225,3.8379312,2026-01-01 00:53:57,47,16.49122807017544
01/01/2026,00:53:57,Voiture,Euromedecine,169,239,Open,43.63895359,3.82772365,2026-01-01 00:53:57,70,29.288702928870293
01/01/2026,00:53:57,Voiture,Occitanie,552,615,Open,43.63456232,3.84859796,2026-01-01 00:53:57,63,10.24390243902439
01/01/2026,00:53:57,Voiture,Vicarello,40,64,Open,43.63286,3.898411,2026-01-01 00:53:57,24,37.5
01/01/2026,00:53:57,Voiture,Gaumont EST,74,109,Open,43.604526,3.91529,2026-01-01 00:53:57,35,32.11009174311927
01/01/2026,00:53:57,Voiture,Gaumont OUEST,5,250,Open,43.604824,3.914158,2026-01-01 00:53:57,245,98.0
01/01/2026,00:53:57,Voiture,Charles de Gaulle,173,260,Open,43.6285421,3.8977621,2026-01-01 00:53:57,87,33.46153846153846
01/01/2026,00:53:57,Voiture,Polygone,1013,1911,Open,43.607697,3.88515,2026-01-01 00:53:57,898,46.99110413396127
01/01/2026,00:53:57,Voiture,Arc de Triomphe,106,440,Open,43.61100267,3.8732007,2026-01-01 00:53:57,334,75.9090909090909
01/01/2026,00:53:57,Voiture,Gaumont-Circe,199,500,Open,43.60495377,3.9178495,2026-01-01 00:53:57,301,60.199999999999996
01/01/2026,01:03:57,Voiture,Antigone,172,239,Open,43.60871606,3.88881893,2026-01-01 01:03:57,67,28.03347280334728
01/01/2026,01:03:57,Voiture,Comedie,203,664,Open,43.60856092,3.87976196,2026-01-01 01:03:57,461,69.42771084337349
01/01/2026,01:03:57,Voiture,Corum,272,480,Open,43.61388821,3.88225773,2026-01-01 01:03:57,208,43.333333333333336
01/01/2026,01:03:57,Voiture,Europa,488,591,Open,43.60784971,3.89253074,2026-01-01 01:03:57,103,17.428087986463623
01/01/2026,01:03:57,Voiture,Foch,429,620,Open,43.61074912,3.87657084,2026-01-01 01:03:57,191,30.806451612903224
01/01/2026,01:03:57,Voiture,Gambetta,212,452,Open,43.60695138,3.87137436,2026-01-01 01:03:57,240,53.09734513274337
01/01/2026,01:03:57,Voiture,Gare,308,656,Open,43.604024,3.87891,2026-01-01 01:03:57,348,53.04878048780488
01/01/2026,01:03:57,Voiture,Triangle,274,434,Open,43.60923384,3.88184418,2026-01-01 01:03:57,160,36.86635944700461
01/01/2026,01:03:57,Voiture,Pitot,403,590,Open,43.61224494,3.87019117,2026-01-01 01:03:57,187,31.694915254237287
01/01/2026,01:03:57,Voiture,Circe,994,1200,Open,43.60495377,3.9178495,2026-01-01 01:03:57,206,17.166666666666668
01/01/2026,01:03:57,Voiture,Garcia Lorca,388,400,Open,43.59098509,3.8907158,2026-01-01 01:03:57,12,3.0
01/01/2026,01:03:57,Voiture,Mosson,307,328,Open,43.61623716,3.81966554,2026-01-01 01:03:57,21,6.402439024390244
01/01/2026,01:03:57,Voiture,Sabines,141,285,Open,43.58383263,3.8602246,2026-01-01 01:03:57,144,50.526315789473685
01/01/2026,01:03:57,Voiture,Sablassou,316,379,Open,43.63419194,3.92229536,2026-01-01 01:03:57,63,16.62269129287599
01/01/2026,01:03:57,Voiture,Saint Jean Le Sec,238,285,Open,43.57082225,3.8379312,2026-01-01 01:03:57,47,16.49122807017544
01/01/2026,01:03:57,Voiture,Euromedecine,169,239,Open,43.63895359,3.82772365,2026-01-01 01:03:57,70,29.288702928870293
01/01/2026,01:03:57,Voiture,Occitanie,553,615,Open,43.63456232,3.84859796,2026-01-01 01:03:57,62,10.08130081300813
01/01/2026,01:03:57,Voiture,Vicarello,40,64,Open,43.63286,3.898411,2026-01-01 01:03:57,24,37.5
01/01/2026,01:03:57,Voiture,Gaumont EST,74,109,Open,43.604526,3.91529,2026-01-01 01:03:57,35,32.11009174311927
01/01/2026,01:03:57,Voiture,Gaumont OUEST,5,250,Open,43.604824,3.914158,2026-01-01 01:03:57,245,98.0
01/01/2026,01:03:57,Voiture,Charles de Gaulle,174,260,Open,43.6285421,3.8977621,2026-01-01 01:03:57,86,33.07692307692307
01/01/2026,01:03:57,Voiture,Polygone,1013,1911,Open,43.607697,3.88515,2026-01-01 01:03:57,898,46.99110413396127
01/01/2026,01:03:57,Voiture,Arc de Triomphe,113,440,Open,43.61100267,3.8732007,2026-01-01 01:03:57,327,74.31818181818181
01/01/2026,01:03:57,Voiture,Gaumont-Circe,199,500,Open,43.60495377,3.9178495,2026-01-01 01:03:57,301,60.199999999999996
01/01/2026,01:13:57,Voiture,Antigone,172,239,Open,43.60871606,3.88881893,2026-01-01 01:13:57,67,28.03347280334728
01/01/2026,01:13:57,Voiture,Comedie,213,664,Open,43.60856092,3.87976196,2026-01-01 01:13:57,451,67.92168674698796
